Crime Type,Crime Subtype,Crime Description,Crime Severity,Crime Status,Location,Area/Neighborhood,City,State/Region,Country,Location Type,Date,Time,Day of the Week,Season,Duration,Victim Name,Victim Age,Victim Gender,Victim Contact Information,Victim Statement,Injuries Sustained,Property Lost/Damaged,Suspect Name,Suspect Age,Suspect Gender,Suspect Description,Suspect Criminal History,Suspect Modus Operandi,Number of Suspects,Witness Name,Witness Statement,Witness Contact Information,Evidence Type,Evidence Description,Evidence Collection Date,Evidence Location,Arrests Made,Charges Filed,Method of Entry,Weapons Used,Tools Used,Escape Route,Monetary Loss,Motive,Crime Pattern,Gang Involvement,Terrorism Link,Media Coverage,Public Alert Issued,Social Media Activity,Source of Information,Confidentiality Level,Tags/Keywords
Organized Crime,Human Trafficking,Aliquid excepturi nemo molestias eaque veniam sapiente tempora exercitationem unde officiis esse exercitationem commodi vitae.,Minor,Closed,"H.No. 20
Varghese Marg, Katihar-546708",Bhatpara,Ludhiana,Punjab,India,Residential,1994-10-15,22:28:57,Sunday,Summer,80 minutes,Vritika Raj,21,Other,8581612978,Corrupt flight or pleasures to explain what the environment is happy to snacks of pain or distressing times.,Burn injuries,Bike set on fire,Samarth Rau,18,Female,Nesciunt necessitatibus animi laudantium modi aliquid veniam natus dolorum est accusamus quia officia quidem maiores. Wearing a black hoodie and had a scar on the left cheek.,Previously arrested for burglary,Used fake IDs to commit fraud,5,Nitara Sama,"I will explain them to be rejected, I will come into any most of them, most of them, to carry the most of the pain, and the sorrows were blinded.",690364323,DNA Sample,CCTV footage showing the suspect,2013-04-13,"H.No. 76, Banerjee Ganj, North Dumdum-787913",No,Charged under IPC 392 for robbery,Forced Entry,,Lockpick,Used a tunnel behind the house,Rs. 239718,Financial Gain,No,Yes,Yes,No,Yes,Yes,Witness Account,Classified,human trafficking
Assault,Physical Assault,Assumenda facere error maxime doloremque provident assumenda inventore amet consectetur facilis atque quam quaerat delectus officia nemo.,Moderate,Closed,"29/23
Magar Zila, Gudivada 661664",Allahabad,Ludhiana,Punjab,India,Residential,1992-09-17,15:55:10,Thursday,Summer,107 minutes,Alia Bora,23,Other,917104348281,Aliquid nobis explicabo asperiores perspiciatis dolores vel officiis minima alias eos.,Minor bruises,Bike set on fire,Nirvi Guha,18,Other,Recusandae modi omnis sed nulla unde dolores debitis at autem. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Threatened victims with a knife,2,Lakshit Deol,"He hates troubles, but the like something to do on a blinded truth of the body pleasure with some otherwise easy assumed pain, the most pleasures.",6176446500,Fingerprint,CCTV footage showing the suspect,2018-06-11,"H.No. 566, Swaminathan Road, Karimnagar 299706",No,Under IPC 302 for murder,Unlocked Door,Gun,,Escaped using a fake taxi,Rs. 193176,Financial Gain,Yes,Yes,Yes,No,Yes,Yes,Police Report,Classified,physical assault
Gang Violence,Rival Attack,Cumque deserunt dicta cum fuga repudiandae cumque unde ratione mollitia cumque molestias in incidunt nobis nam adipisci perspiciatis magnam consequatur.,Severe,Solved,"47/34
Baria Street, Ghaziabad-866400",Cuttack,Ludhiana,Punjab,India,Commercial,2003-09-09,12:06:25,Sunday,Monsoon,29 minutes,Jayesh Buch,58,Female,6513070424,"Who is the advantage of pleasures will explain the will of the regular assuming them, and the exercise of them.",Gunshot wound,Bike set on fire,Piya Ramachandran,42,Other,Aut facere quas dolore illum delectus vel voluptate earum. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Used a stolen car for escape,2,Diya Kade,"Inventor, if no one can be taken to find out by the expelled advantage to seek further to welcome to flight when the law will be.",4657949142,Fingerprint,Hacked emails with transaction details,2008-01-14,"H.No. 34
Tiwari Path
Bhind 837034",No,Charged under IPC 392 for robbery,Unlocked Door,,,Fled on a stolen bike,Rs. 312854,Gang Rivalry,No,No,No,Yes,No,No,Police Report,Classified,rival attack
Property Crime,Theft,Iusto delectus nam veritatis eius sit ipsam numquam aperiam sequi quaerat unde inventore dolore aliquam.,Moderate,Closed,"H.No. 88, Warrior Circle, Jehanabad-192587",Surendranagar Dudhrej,Ludhiana,Punjab,India,Residential,2001-04-15,16:34:04,Wednesday,Autumn,26 minutes,Alia Sehgal,25,Male,781442028,Architect as if the laborious discoverer is to be prepared to be the pain of the distinction of the flight.,Minor bruises,Shop looted overnight,Yasmin Dar,41,Male,Nihil necessitatibus eius alias amet odit quibusdam sit dolores nemo rem. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Set fire to the evidence,5,Lakshay Kapur,Optio sunt at delectus ipsum id quidem reiciendis repudiandae asperiores neque sunt facilis distinctio consequuntur.,3869331313,CCTV Footage,Witness video recording,2018-09-12,"947, Taneja Path
Thanjavur 381405",Yes,Under IPC 302 for murder,Unlocked Door,,Hacking Software,Left the country using a fake passport,Rs. 415267,Personal Vendetta,Yes,No,Yes,Yes,No,Yes,Victim Statement,Public,theft
Assault,Domestic Violence,Voluptatem praesentium molestias quod sequi illum et rem consequatur aut dignissimos repellendus consequatur est veniam minima vero explicabo iure maiores porro autem corrupti nesciunt harum ratione.,Severe,Under Investigation,"157, Kari Zila
Allahabad-925998",Faridabad,Ludhiana,Punjab,India,Public Space,2000-07-10,08:35:53,Sunday,Monsoon,105 minutes,Vanya Ravel,29,Female,3092466585,We are bound by a distinction from the fault of the actual never suffered pain.,Head injury,Laptop and cash stolen,Inaaya  Barad,40,Male,Eos ipsam aperiam aspernatur at voluptate autem minima qui. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Hacked into bank accounts,5,Saksham Balasubramanian,"But we have been selected to be applied to the pain of the flattery of the pain in the pain of the flattery of a man who is a painful manner of discrimination, and to do.",919221199215,Fingerprint,Fingerprints found on the crime scene,2025-02-21,"H.No. 23, Dhar Marg
Purnia 787001",Yes,No charges filed yet,Forced Entry,Gun,,Used a tunnel behind the house,Rs. 289581,Financial Gain,No,No,Yes,Yes,No,No,Police Report,Restricted,domestic violence
Murder/Homicide,Manslaughter,Beatae magnam quos at nam aliquid vitae id earum odio eligendi mollitia culpa corrupti.,Severe,Under Investigation,"H.No. 927, Uppal Chowk, Davanagere 813531",Tumkur,Ludhiana,Punjab,India,Residential,1976-04-20,06:44:55,Saturday,Autumn,71 minutes,Kiara Bhardwaj,18,Female,8390058659,They do not know the people who had a great hatred of a great hatred of the most accusing free or to do.,"No physical injuries, but mental trauma",Bike set on fire,Samiha Seshadri,49,Male,Pariatur temporibus nobis tempora aliquid voluptatem quas quod placeat ullam quia architecto sunt error ex. Wearing a black hoodie and had a scar on the left cheek.,Multiple cases of fraud pending,Broke in through the backdoor,5,Manjari Shan,"This further them all the sins of the fault, never needs to follow them with less by the architect, and it.",940405314,DNA Sample,Witness video recording,1999-06-27,"H.No. 22, Devi Circle, Bhind 175501",Yes,Case registered under cybercrime act,Unlocked Door,Gun,Hacking Software,Escaped using a fake taxi,Rs. 53217,Personal Vendetta,No,Yes,No,No,Yes,No,Victim Statement,Classified,manslaughter
Organized Crime,Extortion,Reprehenderit dolores est asperiores minus ut cumque dolore beatae totam nemo non esse laboriosam repellendus saepe aliquid voluptates.,Severe,Solved,"733, Suri Chowk
Ozhukarai 405826",Uluberia,Ludhiana,Punjab,India,Residential,2011-08-27,19:43:00,Thursday,Autumn,109 minutes,Shayak Kuruvilla,45,Male,2949127366,He rejects to achieve the pain welcome any pain for any of the times at.,Burn injuries,Laptop and cash stolen,Stuvan Walla,27,Male,Vel perferendis similique at delectus nemo laudantium. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Used fake IDs to commit fraud,4,Dishani Chandra,"Nothing is a regular expedite of our pleasures, I do not know I do not have to be assumed to be assumed to be assumed to be assumed to be the smallest pleasure of the.",916085176255,DNA Sample,Fingerprints found on the crime scene,1991-09-18,"H.No. 74, Saini Marg
Panipat-265849",Yes,Under IPC 302 for murder,Unlocked Door,Blunt Object,,Left the country using a fake passport,Rs. 193778,Gang Rivalry,No,Yes,Yes,No,No,No,Witness Account,Restricted,extortion
Rioting,Political Riot,Esse adipisci ullam sunt voluptatibus molestias quisquam doloremque adipisci temporibus tenetur ipsum consequatur adipisci occaecati animi error quo ut corporis provident libero omnis.,Minor,Reported,"00
Sunder Path
Singrauli 752419",Muzaffarpur,Ludhiana,Punjab,India,Public Space,1981-08-30,07:20:34,Monday,Winter,77 minutes,Hrishita Chand,53,Other,7418833478,The pleasure of the pleasures of the consequences of the life of all the debts and no one is the discovery of the.,Fractured arm,Jewelry worth Rs. 2 lakhs stolen,Ela Bakshi,38,Female,Non nemo quam fuga et dolores corporis. Wearing a black hoodie and had a scar on the left cheek.,Multiple cases of fraud pending,Set fire to the evidence,3,Vedika Chanda,"Her mollitude is a discomfort of pleasure to repudiate because of the pain, I will explain the desire to escape the great law which they do.",910608493647,CCTV Footage,Witness video recording,2018-04-30,"28
Sinha Marg, Morbi 536128",Yes,No charges filed yet,Forced Entry,Knife,,Fled on a stolen bike,Rs. 415070,Gang Rivalry,No,No,Yes,Yes,No,Yes,Police Report,Classified,political riot
Assault,Physical Assault,Officia temporibus ipsa optio fuga molestiae debitis debitis exercitationem quas temporibus perferendis sapiente cumque veritatis asperiores.,Minor,Closed,"740, Sachdeva Ganj, Imphal-125347",Ballia,Ludhiana,Punjab,India,Commercial,1974-10-02,14:21:42,Wednesday,Summer,49 minutes,Nitya Wagle,23,Male,915883827886,"The pleasure of the duties of the fault of the fault which is to be without pleasure, that is, the pleasure or pleasure.","No physical injuries, but mental trauma",Gold chain and mobile phone stolen,Urvi Bumb,47,Other,Accusantium quisquam nam deserunt omnis magnam aliquam soluta aut corporis nobis iusto facere. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Threatened victims with a knife,4,Vardaniya Sathe,To these will explain to explain quo discomfort any consumer unless the desire of the desire to achieve unless a regular desire.,913961797900,Weapon,Witness video recording,2006-08-14,"18/618, Bandi Chowk
Muzaffarpur 692176",Yes,Charged under IPC 392 for robbery,Unlocked Door,,Lockpick,Escaped using a fake taxi,Rs. 470940,Financial Gain,No,Yes,Yes,No,Yes,Yes,Witness Account,Restricted,physical assault
Assault,Domestic Violence,Magni aperiam quia blanditiis aut ducimus aliquam deleniti vitae aperiam possimus magni ipsa dolorem voluptatum voluptatem impedit nulla.,Minor,Solved,"32/15, Devan Path
Ramagundam 591254",Sambalpur,Ludhiana,Punjab,India,Commercial,1972-12-04,22:26:46,Saturday,Summer,48 minutes,Aarna Dutta,29,Female,917581136777,"Body or pleasure as if he had escaped, she is born to prevent the laborious actual and pain itself pleasure.",Gunshot wound,Bike set on fire,Vanya Mander,29,Other,Et molestias dicta magnam laudantium iste sapiente voluptates. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Broke in through the backdoor,3,Mohanlal Agarwal,Never rejects the pain of all the pain of all avoided as if I will never be pleasures pleasures of the pleasures of any error.,912826843643,Weapon,CCTV footage showing the suspect,1992-12-08,"79/21, Wadhwa Nagar, Giridih-920666",Yes,No charges filed yet,Forced Entry,Knife,,Escaped using a fake taxi,Rs. 78588,Personal Vendetta,Yes,Yes,Yes,No,No,No,Victim Statement,Restricted,domestic violence
Financial Crimes,Identity Theft,Iure enim sed quidem sint quisquam qui non odio nulla unde maxime reprehenderit quas aliquam.,Moderate,Reported,"96/194, Dhawan Nagar, Khora  084144",Dhule,Ludhiana,Punjab,India,Public Space,1973-01-10,08:38:37,Thursday,Summer,37 minutes,Rati Chhabra,47,Female,8004460495,"Times seek their offices, however, do not know the quo to be at the time of which of their pain.",Minor bruises,Bike set on fire,Bhavin Chakrabarti,34,Male,Debitis pariatur est saepe adipisci aliquid officia ipsam alias alias sapiente. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Broke in through the backdoor,3,Manjari Sachdev,Welcome to the pain of all but pain rejects the pain of the pleasure of the pleasure of the pleasure of the pleasures of the discovery of the pleasures of the discovery and troubles and hatred.,915581618766,Weapon,Fingerprints found on the crime scene,2021-08-22,"H.No. 83, Swaminathan Street, Hajipur 525083",Yes,Under IPC 302 for murder,Unlocked Door,,Lockpick,Used a tunnel behind the house,Rs. 198206,Financial Gain,No,No,Yes,Yes,Yes,No,Police Report,Public,identity theft
Rioting,Public Disturbance,Vel ipsum possimus quibusdam deserunt quos quia quos deserunt architecto alias molestias sit illum laboriosam.,Moderate,Closed,"062
Jaggi Path, Bidar 806537",Mehsana,Ludhiana,Punjab,India,Residential,2022-04-16,01:04:10,Thursday,Summer,29 minutes,Raunak Rastogi,58,Male,917932256830,"The pain of the offices of the consequences of the accusation of the accusation of the statement, but the reality of resilience from the times of repellat.",Head injury,Bike set on fire,Ishaan Hari,26,Female,Alias sapiente at quod at illum iusto quam. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Used fake IDs to commit fraud,3,Dhanush Comar,Rejects the pain other accepted most of some never what is that if the distinction of the law of the advantage of the most important things to be accepted by the blessed of all.,9898319298,DNA Sample,Hacked emails with transaction details,1977-04-01,"679, Jhaveri
Akola 038258",No,Charged under IPC 392 for robbery,Forced Entry,,Lockpick,Fled on a stolen bike,Rs. 417614,Gang Rivalry,No,Yes,No,No,Yes,Yes,Victim Statement,Restricted,public disturbance
Terrorism,Terrorist Attack,Alias perspiciatis quidem tenetur autem consequuntur voluptatem temporibus repudiandae quis magni sed et cumque doloremque similique magnam iure non nemo non dolores cupiditate quis ipsum dolores.,Moderate,Under Investigation,"55/500, Ghosh, Jabalpur 198949",Gwalior,Ludhiana,Punjab,India,Residential,1997-09-20,18:51:41,Sunday,Summer,94 minutes,Sumer Chaudhry,18,Female,6756292784,I chewing the body of the fault hates the discovery and opening the same thing as it is the truth.,"No physical injuries, but mental trauma",House ransacked,Inaaya  Magar,26,Female,At labore voluptas exercitationem iure numquam alias odio voluptatem distinctio quisquam nostrum illo maiores. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Set fire to the evidence,5,Lagan Butala,"And soothing softness of pain praise the duties of provision for the pain of the physical pain, the pain of free is but loose to the worse.",7428865762,Weapon,Witness video recording,1976-01-25,"406, Sahota Zila
Bellary-297346",Yes,No charges filed yet,Security Breach,,,Fled on a stolen bike,Rs. 453050,Financial Gain,No,No,No,Yes,No,Yes,Police Report,Classified,terrorist attack
Murder/Homicide,Attempted Murder,Cupiditate totam ex similique voluptatibus assumenda illum ipsa minus beatae laudantium blanditiis quidem rem iste ab itaque porro nobis cupiditate magnam repellat est maiores.,Minor,Closed,"70/82, Bandi Marg
Satna 054772",Bhind,Ludhiana,Punjab,India,Public Space,1982-10-22,16:53:07,Thursday,Winter,112 minutes,Zain Rajagopalan,49,Male,1314583877,"The pain of any who is born of the pleasure of the pleasure of a regular environment in some of the body, which, but its assumed the pain of the pain is bound.",Gunshot wound,Jewelry worth Rs. 2 lakhs stolen,Hridaan Gala,50,Male,Doloremque consequatur culpa accusantium quidem modi blanditiis itaque quasi a et rerum sequi distinctio. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Hacked into bank accounts,2,Yuvaan Gokhale,"Never any of the things that are due to be done in order to do in the labor of the labors, they do not know that it is easy to be rejected by a hate.",9744574388,Weapon,Fingerprints found on the crime scene,2017-10-25,"H.No. 592
Krishnamurthy Zila, Tezpur 449681",Yes,Under IPC 302 for murder,Security Breach,Knife,Lockpick,Left the country using a fake passport,Rs. 83414,Personal Vendetta,Yes,No,No,Yes,No,No,Victim Statement,Public,attempted murder
Rioting,Religious Riot,Praesentium ipsam officiis magnam vel fuga temporibus soluta ex consectetur perferendis corrupti sed impedit atque excepturi et autem velit sapiente ipsum unde.,Severe,Reported,"816
Mall
Chapra 488978",Karnal,Ludhiana,Punjab,India,Public Space,1989-06-03,19:18:34,Saturday,Autumn,109 minutes,Zaina Sharaf,57,Male,5074415778,It may please the film or runs we can be able to elect the architect to choose the obstacle to be prepared to explain the great out of it.,Minor bruises,Bike set on fire,Anya Chada,40,Other,Accusantium delectus nam tempora consectetur iusto alias architecto accusantium quo accusantium voluptatem dolore magnam rerum. Wearing a black hoodie and had a scar on the left cheek.,Multiple cases of fraud pending,Used a stolen car for escape,3,Vivaan Ahluwalia,The blessed deleniti to follow no one great pleasures of deleniti are avoided at life at.,912437851713,CCTV Footage,Hacked emails with transaction details,2014-02-03,"45/512
Swamy Zila
Pali 671662",Yes,Bailable offense under IPC 420,Unlocked Door,,Lockpick,Ran into a crowded market,Rs. 327499,Gang Rivalry,Yes,Yes,No,No,Yes,Yes,Police Report,Classified,religious riot
Organized Crime,Human Trafficking,Quisquam unde minus repellat in labore nobis ipsum atque magnam neque eligendi illum eaque delectus accusamus occaecati ad corrupti dolore quos odio.,Moderate,Closed,"H.No. 367, Mane Ganj, Pali 695078",Jamshedpur,Ludhiana,Punjab,India,Public Space,2002-07-17,02:45:23,Wednesday,Monsoon,50 minutes,Yasmin Suri,39,Female,7273037311,"The pain of the exhortions of these are the righteous, the just blinded, soothe, so that the desire to be.",Burn injuries,Laptop and cash stolen,Devansh Sathe,30,Female,Quod consequuntur rerum commodi suscipit corporis veritatis. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Threatened victims with a knife,1,Jayan Dixit,In order to achieve the pain that the pain runs other similarity to any flight.,3255470287,Fingerprint,Fingerprints found on the crime scene,1980-05-03,"H.No. 35, Dugal, Nagaon 996925",Yes,Arrested and charged for human trafficking,Unlocked Door,Knife,,Left the country using a fake passport,Rs. 114136,Financial Gain,Yes,No,No,Yes,No,No,Witness Account,Public,human trafficking
Gang Violence,Gang Clash,Aspernatur cupiditate reiciendis incidunt minima ex veniam alias eveniet distinctio assumenda labore aliquid voluptates tempora cum voluptatibus dignissimos nobis deserunt excepturi neque.,Moderate,Under Investigation,"H.No. 34
Gokhale Path, Ballia-275385",Raipur,Ludhiana,Punjab,India,Residential,1975-04-14,07:09:47,Wednesday,Summer,63 minutes,Trisha Balay,45,Female,913990948613,"To obtain a similarity that the like rejects pleasure or troubles, the entire mind to open an intense that free pain choices to follow cheering.","No physical injuries, but mental trauma",Bike set on fire,Sahil Bandi,41,Other,Totam tempore quas excepturi vero quis quod eveniet consequatur nesciunt. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Set fire to the evidence,4,Stuvan Lad,It is the pleasures of a hatred of the accusing criticized this is the smallest of which they abandon nothing to take advantage of our body to work the consequences.,912007787265,Fingerprint,Murder weapon recovered from trash,2002-04-20,"705
Gera Street, Karawal Nagar 473126",Yes,Charged under IPC 392 for robbery,Forced Entry,Blunt Object,Hacking Software,Left the country using a fake passport,Rs. 392009,Personal Vendetta,Yes,No,No,Yes,No,No,Police Report,Public,gang clash
Robbery,Unarmed Robbery,Voluptatum fugiat praesentium sed et maxime amet neque ab quas qui rerum harum iste harum nam.,Moderate,Under Investigation,"54
Gole Circle
Lucknow-837264",Ajmer,Ludhiana,Punjab,India,Public Space,1999-04-18,12:58:46,Monday,Monsoon,72 minutes,Hiran Sen,21,Female,8778264019,Hic numquam molestiae porro quod fuga provident error unde.,Gunshot wound,House ransacked,Tejas Tak,49,Other,Impedit numquam ex temporibus voluptas at libero minima distinctio excepturi. Wearing a black hoodie and had a scar on the left cheek.,No prior criminal record,Set fire to the evidence,2,Taimur Varty,"At times, the error of the truth of the great discomfort rejected the entire thing that any thing flies, he hinders to escape any one to do.",915339699185,Weapon,Murder weapon recovered from trash,1982-12-27,"47/579, Tandon Nagar, Saharanpur-787885",No,Arrested and charged for human trafficking,Unlocked Door,Blunt Object,Hacking Software,Boarded a train to another city,Rs. 477872,Gang Rivalry,No,Yes,No,Yes,No,Yes,Victim Statement,Public,unarmed robbery
Robbery,Unarmed Robbery,Maiores accusamus magnam fugit quas repellat nobis architecto necessitatibus molestiae ipsa non magnam officiis quisquam temporibus et commodi.,Minor,Reported,"H.No. 86
Gill Road
Kakinada-636899",Mehsana,Ludhiana,Punjab,India,Public Space,1978-11-03,14:38:36,Sunday,Summer,40 minutes,Anay Shah,43,Male,2077059763,From the pleasures of the advantage of a person who is to be prepared to abandon a certain fault of our flight.,Multiple stab wounds,Car windshield broken,Aaina Arora,37,Male,Quae numquam cumque hic quos reprehenderit sit officia corporis ex vel odio. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Broke in through the backdoor,4,Jiya Solanki,"At the time of this, the entire exercise of the entire accusant to the entire life of praise.",910104584201,Fingerprint,Murder weapon recovered from trash,1980-12-27,"911
Mani Ganj
Jamnagar 676771",No,No charges filed yet,Security Breach,Blunt Object,Lockpick,Escaped using a fake taxi,Rs. 340496,Gang Rivalry,Yes,Yes,Yes,Yes,Yes,No,Victim Statement,Restricted,unarmed robbery
Organized Crime,Human Trafficking,Maiores aut animi ab corrupti vitae recusandae laboriosam rerum nulla sint sapiente illo ab aperiam nostrum porro expedita voluptatibus dicta aperiam asperiores unde dolorem.,Moderate,Solved,"21/03
Chada Road, Berhampore 989534",Sirsa,Ludhiana,Punjab,India,Residential,1986-10-04,20:14:19,Thursday,Autumn,120 minutes,Biju Vyas,49,Female,2755758877,"He escapes from the accusation of the accusation of the truth to us, they know the free flight.",Gunshot wound,House ransacked,Manikya Chakrabarti,25,Female,Animi quae ea facere perspiciatis quibusdam tempore sit corporis quo possimus. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Threatened victims with a knife,2,Anaya Salvi,"Quo we can criticize the tiny criticizing of our debts, which is not to be able to make the consectetur unless you open.",4539241456,Fingerprint,Witness video recording,1982-01-24,"53/73
Wali Street
Adoni 510657",No,No charges filed yet,Security Breach,Blunt Object,,Fled on a stolen bike,Rs. 300251,Personal Vendetta,Yes,No,No,No,No,No,Witness Account,Public,human trafficking
Rioting,Religious Riot,Beatae ipsam deleniti asperiores eligendi tempore soluta veritatis at enim dolores alias deleniti nisi sequi sequi est itaque soluta eos reiciendis.,Severe,Solved,"644
Shenoy Circle, Firozabad-465533",Sagar,Ludhiana,Punjab,India,Residential,1994-03-21,11:28:13,Tuesday,Summer,86 minutes,Onkar Shroff,20,Female,8275417872,"Or, which and loose or pleasure of things from doing rejects the film, never that the time was selected.",Multiple stab wounds,Laptop and cash stolen,Purab Dutta,31,Female,Libero autem nostrum explicabo voluptate enim occaecati consequatur perspiciatis officia qui perferendis perspiciatis nesciunt. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Set fire to the evidence,3,Siya Yohannan,"Any body delectus pleasures of pain and softness, but if the pain prosecutors who can be avoided.",531854903,CCTV Footage,CCTV footage showing the suspect,2014-06-21,"63/84, Hora Marg
Surendranagar Dudhrej-545924",No,Bailable offense under IPC 420,Security Breach,Gun,,Escaped using a fake taxi,Rs. 302635,Financial Gain,No,Yes,No,Yes,No,No,Victim Statement,Public,religious riot
Assault,Sexual Assault,Voluptates autem hic odit cum hic libero enim iure corporis quam quos aut sint eius ex non optio consequatur praesentium sit id voluptatem voluptate.,Minor,Solved,"72/67
Saxena Circle
Mira-Bhayandar 601035",Sultan Pur Majra,Ludhiana,Punjab,India,Residential,2011-02-03,02:04:06,Monday,Winter,113 minutes,Inaaya  Chaudhary,60,Female,808468592,Its floors like the responsibilities follow that anyone who.,Gunshot wound,Gold chain and mobile phone stolen,Indrans Kaul,22,Other,Similique repellat fuga nesciunt saepe vitae quibusdam fugit repellat quibusdam sed fuga eveniet. Wearing a black hoodie and had a scar on the left cheek.,No prior criminal record,Threatened victims with a knife,4,Riya Ratta,The discovery of the labor of the pain of the just one who was selected for the very least one who wants to be blinded with less painful enhanced.,4647185524,DNA Sample,Witness video recording,1986-10-17,"39/77
Deshmukh Zila
Narasaraopet 025501",Yes,Under IPC 302 for murder,Unlocked Door,Gun,Lockpick,Ran into a crowded market,Rs. 63091,Financial Gain,No,No,Yes,Yes,Yes,Yes,Witness Account,Classified,sexual assault
Kidnapping/Abduction,Forced Confinement,Sed dolor doloribus omnis ut ab aliquam similique consectetur est enim suscipit tempore quo.,Moderate,Reported,"38/72, Sunder
Tezpur 997677",Kharagpur,Ludhiana,Punjab,India,Residential,2022-04-21,21:17:00,Monday,Autumn,41 minutes,Neysa Bandi,41,Female,914132456911,"Some of the things of the pain, the less, to flee to the greater and the things that no one is.",Head injury,Gold chain and mobile phone stolen,Bhamini Desai,44,Other,Quod enim aliquam vitae sed voluptatibus numquam repellat odio quisquam rerum molestiae ratione voluptatum qui. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Hacked into bank accounts,1,Divij Handa,Accused hates the labor of an intense hardship to hate the time itself is easy to achieve him repelled at how they are discomfort.,8750267770,DNA Sample,Murder weapon recovered from trash,2023-05-07,"028
Sharma
Bally-976253",No,Bailable offense under IPC 420,Security Breach,,,Used a tunnel behind the house,Rs. 131484,Financial Gain,Yes,Yes,Yes,Yes,No,No,Witness Account,Restricted,forced confinement
Traffic and Vehicle Crimes,Reckless Driving,Amet animi doloribus accusantium maiores ullam minima nemo dignissimos quisquam dolorem reiciendis dignissimos optio rem eveniet rem deleniti quos harum sint praesentium nisi accusantium.,Minor,Solved,"502, Mangal Nagar, Loni 875864",Bokaro,Ludhiana,Punjab,India,Commercial,2022-09-20,13:40:33,Saturday,Monsoon,75 minutes,Oorja Mangat,22,Female,8611826558,He hates for rejects advantage and rejected by.,Gunshot wound,House ransacked,Farhan Dhingra,24,Female,Culpa soluta facilis ipsam placeat quasi reprehenderit voluptatibus laudantium sed eius dicta magnam omnis maxime alias. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Used fake IDs to commit fraud,2,Aarush Tandon,"Poisoning pain, but the very troubles of which to follow the pleasure of his mind as a hate or.",915746801596,CCTV Footage,Fingerprints found on the crime scene,1999-07-14,"61/258, Mahal Ganj
Chennai 341860",No,Bailable offense under IPC 420,Security Breach,Gun,Lockpick,Used a tunnel behind the house,Rs. 481359,Gang Rivalry,Yes,No,No,No,No,Yes,Police Report,Restricted,reckless driving
Terrorism,Cyber Terrorism,Sint itaque possimus id eaque libero velit eligendi recusandae exercitationem voluptate delectus consectetur sit iure dolorum sint harum maiores et nesciunt incidunt cumque cupiditate ab.,Severe,Closed,"48/318, Chaudry Marg, Bhatpara 701174",Nizamabad,Ludhiana,Punjab,India,Commercial,1978-11-01,14:12:23,Saturday,Autumn,72 minutes,Miraan Gandhi,48,Female,463035720,"Furthermore, what is the pain of the pain of the persons, but the presence of the pain of the pain of the less needs.",Multiple stab wounds,Gold chain and mobile phone stolen,Amira Gara,30,Other,Magnam optio rerum doloremque aliquid minus sunt sit atque architecto. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Hacked into bank accounts,1,Rasha Brar,"At the time of the body that rejects the consumer, no snacks runs corrupted, but the debts.",8118115240,Weapon,CCTV footage showing the suspect,1977-08-20,"05, Khalsa Street, Kozhikode 566029",Yes,Under IPC 302 for murder,Forced Entry,Gun,Hacking Software,Escaped using a fake taxi,Rs. 243742,Financial Gain,No,No,No,Yes,No,Yes,Witness Account,Classified,cyber terrorism
